keys,pt,en,es
gameTitle,"REINO DOS GUARDIÕES: DEFESA ARCANA","KINGDOM DEFENDERS: ARCANE SIEGE","REINO DE GUARDIANES: DEFENSA ARCANA"
subtitle,"Tower Defense Medieval de Estratégia e Magia","Medieval Fantasy & Arcane Tower Defense","Tower Defense Medieval de Estrategia y Magia"
play,"JOGAR","PLAY","JUGAR"
playCampaign,"CAMPANHA","CAMPAIGN","CAMPAÑA"
playHint,"Escolha um mapa e defenda o reino","Pick a map and defend the realm","Elige un mapa y defiende el reino"
modes,"MODOS","MODES","MODOS"
progress,"PROGRESO","PROGRESS","PROGRESO"
close,"Fechar","Close","Cerrar"
relicsButton,"RELÍQUIAS ANCESTRAIS","ANCESTRAL RELICS","RELIQUIAS ANCESTRALES"
settings,"CONFIGURAÇÕES","SETTINGS","AJUSTES"
language,"IDIOMA","LANGUAGE","IDIOMA"
sound,"EFEITOS DE SOM","SOUND EFFECTS","EFECTOS DE SONIDO"
music,"MÚSICA DE FUNDO","BACKGROUND MUSIC","MÚSICA DE FONDO"
highContrast,"ALTO CONTRASTE","HIGH CONTRAST","ALTO CONTRASTE"
reducedMotion,"MOVIMENTO REDUZIDO","REDUCED MOTION","MOVIMIENTO REDUCIDO"
haptics,"VIBRAÇÃO HÁPTICA","HAPTIC FEEDBACK","VIBRACIÓN HÁPTICA"
resume,"CONTINUAR","RESUME","CONTINUAR"
restart,"REINICIAR","RESTART","REINICIAR"
surrender,"RETRATAR-SE","SURRENDER","RENDIRSE"
pauseTitle,"JOGO PAUSADO","GAME PAUSED","JUEGO PAUSADO"
victoryTitle,"VITÓRIA GLORIOSA!","GLORIOUS VICTORY!","¡VICTORIA GLORIOSA!"
defeatTitle,"O BALUARTE CAIU!","THE STRONGHOLD FELL!","¡EL BALUARTE CAYÓ!"
bestiary,"BESTIÁRIO DO REINO","REALM BESTIARY","BESTIARIO DEL REINO"
wave,"ONDA","WAVE","OLEADA"
goldSpent,"-{cost} Ouro","-{cost} Gold","-{cost} Oro"
slotUnlocked,"Slot Desbloqueado!","Slot Unlocked!","¡Casilla Desbloqueada!"
